identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;latlon;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;distributeur_pret_a_poster;affranchissement_libre_service;bornes_de_rechargement_moneo;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_une_bande_de_guidage_au_sol
04804A;ABONDANT AP;Agence postale;20 GRANDE RUE;;;28410.0;ABONDANT;FRANCE;48.784173;1.439697;48.784173, 1.439697;Géocodé au numéro;237487463.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04806A;DREUX LE MURGER AP;Agence postale;20 RUE DE LA SABLONNIERE;;;28100.0;DREUX;FRANCE;48.743597;1.360551;48.743597, 1.360551;Géocodé au numéro;237424752.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04809A;AUNAY SOUS AUNEAU BP;Bureau de poste;1 RUE DE LA POSTE;;;28700.0;AUNAY SOUS AUNEAU;FRANCE;48.441418;1.807609;48.441418, 1.807609;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04811A;AUNEAU;Bureau de poste;9 PLACE DU CHAMP DE FOIRE;;;28700.0;AUNEAU;FRANCE;48.463173;1.776014;48.463173, 1.776014;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04814A;BAILLEAU L EVEQUE AP;Agence postale;2 RUE DE LA LIBÉRATION;;;28300.0;BAILLEAU L EVEQUE;FRANCE;48.492098;1.396971;48.492098, 1.396971;Géocodé au milieu de la rue;237229700.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04815A;BARJOUVILLE AP;Agence postale;1 RUE JEAN MOULIN;;;28630.0;BARJOUVILLE;FRANCE;48.406299;1.477278;48.406299, 1.477278;Géocodé au numéro;237343004.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04824A;BOISVILLE LA SAINT PERE AP;Relais poste commerçant;10 PLACE DE LA REPUBLIQUE;BOULANGERIE PATISSERIE DUMENIL;;28150.0;BOISVILLE LA ST PERE;FRANCE;48.327399;1.694167;48.327399, 1.694167;Géocodé au milieu de la rue;237993003.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04825A;BONNEVAL BP;Bureau de poste;3   5 RUE SAINT MICHEL;;;28800.0;BONNEVAL;FRANCE;48.181845;1.385467;48.181845, 1.385467;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04827A;BREZOLLES BP;Bureau de poste;RUE DU BOURG VIEL;;;28270.0;BREZOLLES;FRANCE;48.691207;1.072752;48.691207, 1.072752;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04829A;BROUE AP;Relais poste commerçant;13 RUE SAINT BENOIT;LES JARDINS DES CELESTINS;MAROLLES;28410.0;BROUE;FRANCE;48.748291;1.52174;48.748291, 1.52174;Géocodé au centre de la commune;237432277.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04835A;CHAPELLE ROYALE AP;Agence postale;RUE JEAN MOULIN;;;28290.0;CHAPELLE ROYALE;FRANCE;48.144297;1.04927;48.144297, 1.04927;Géocodé au milieu de la rue;237492150.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04838A;CHATEAUNEUF EN THYMERAIS;Bureau de poste;9 BOULEVARD JEAN JAURES;;;28170.0;CHATEAUNEUF EN THYMERAIS;FRANCE;48.580015;1.24128;48.580015, 1.24128;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04839A;CHATILLON EN DUNOIS AP;Agence postale;19 RUE DE LA POSTE;;;28290.0;CHATILLON EN DUNOIS;FRANCE;48.116493;1.188105;48.116493, 1.188105;Géocodé au centre de la commune;237970303.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04860A;ILLIERS COMBRAY BP;Bureau de poste;22 RUE DE CHARTRES;;;28120.0;ILLIERS COMBRAY;FRANCE;48.300462;1.246864;48.300462, 1.246864;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04861A;JANVILLE BP;Bureau de poste;1 RUE DU MARECHAL FOCH;;;28310.0;JANVILLE;FRANCE;48.200027;1.883893;48.200027, 1.883893;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04868A;LUISANT;Bureau de poste;121 AVENUE MAURICE MAUNOURY;;;28600.0;LUISANT;FRANCE;48.429006;1.474271;48.429006, 1.474271;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui
04870A;MAILLEBOIS AP;Agence postale;37 RUE HUBERT LATHAM;;;28170.0;MAILLEBOIS;FRANCE;48.630292;1.148419;48.630292, 1.148419;Géocodé au milieu de la rue;237481700.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04873A;MARBOUE AP;Relais poste commerçant;15 AVENUE DU 15 AOUT 1944;BAR TABAC LE GALLIA MME DORDOIGNE;;28200.0;MARBOUE;FRANCE;48.113399;1.330116;48.113399, 1.330116;Géocodé au numéro;237450174.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04875A;MEZIERES EN DROUAIS AP;Agence postale;17 RUE DE LA MAIRIE;;;28500.0;MEZIERES EN DROUAIS;FRANCE;48.725135;1.425231;48.725135, 1.425231;Géocodé au numéro;237434054.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04876A;NOGENT LE ROI BP;Bureau de poste;7 RUE DES GRENETS;;;28210.0;NOGENT LE ROI;FRANCE;48.647695;1.530885;48.647695, 1.530885;Géocodé au milieu de la rue;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04877A;NOGENT LE ROTROU;Bureau de poste;2 AVENUE GEORGES CLEMENCEAU;;;28400.0;NOGENT LE ROTROU;FRANCE;48.321696;0.819015;48.321696, 0.819015;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
04879A;OUARVILLE AP;Agence postale;4 RUE DE LA REPUBLIQUE;;;28150.0;OUARVILLE;FRANCE;48.354498;1.773249;48.354498, 1.773249;Géocodé au milieu de la rue;237221640.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04890A;SAINT REMY SUR AVRE BP;Bureau de poste;21 RUE DU GENERAL DE GAULLE;;;28380.0;ST REMY SUR AVRE;FRANCE;48.76143;1.238827;48.76143, 1.238827;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
04898A;THIRON GARDAIS BP;Bureau de poste;4 RUE DES TILLEULS;;;28480.0;THIRON GARDAIS;FRANCE;48.310652;0.996832;48.310652, 0.996832;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04899A;THIVARS AP;Agence postale;15 RUE DU CHANOINE VERGEZ;;;28630.0;THIVARS;FRANCE;48.380232;1.450186;48.380232, 1.450186;Géocodé au numéro;237259909.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04902A;TREON AP;Agence postale;33 GRANDE RUE;;;28500.0;TREON;FRANCE;48.675795;1.325527;48.675795, 1.325527;Géocodé au centre de la commune;237826000.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04906A;VILLIERS LE MORHIER AP;Agence postale;8 PLACE DE L EGLISE;;;28130.0;VILLIERS LE MORHIER;FRANCE;48.620795;1.562677;48.620795, 1.562677;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04907A;VOVES;Bureau de poste;1 RUE JULES FERRY;;;28150.0;VOVES;FRANCE;48.272184;1.624064;48.272184, 1.624064;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04909A;YMONVILLE AP;Relais poste commerçant;31 RUE DU HAUT CHEMIN;RESTAURANT BAR TABAC A L ETOLILE;;28150.0;YMONVILLE;FRANCE;48.262598;1.754589;48.262598, 1.754589;Géocodé au milieu de la rue;237322567.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04910A;DREUX LES BATES BP;Bureau de poste;30 BOULEVARD DE L EUROPE;;;28100.0;DREUX;FRANCE;48.737523;1.346776;48.737523, 1.346776;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non
04913A;NOGENT LE ROTROU AP;Agence postale;ALLEE FLANDRES DUNKERQUE;;;28400.0;NOGENT LE ROTROU;FRANCE;48.314095;0.831476;48.314095, 0.831476;Géocodé au milieu de la rue;237525154.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04918A;CHARTRES LA MADELEINE;Bureau de poste;16 MAIL JEAN DE DUNOIS;;;28000.0;CHARTRES;FRANCE;48.445835;1.518281;48.445835, 1.518281;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Oui;Non
04919A;CHARTRES PETIT CLOS BP;Bureau de poste;6 MAIL DU PETIT CLOS;;;28000.0;CHARTRES;FRANCE;48.437899;1.506917;48.437899, 1.506917;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04923A;LUCE LES ARCADES BP;Bureau de poste;9 PLACE DES ARCADES;;;28110.0;LUCE;FRANCE;48.436436;1.446815;48.436436, 1.446815;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non
04933A;BOURG BLANC BP;Bureau de poste;16 RUE NOTRE DAME;;;29860.0;BOURG BLANC;FRANCE;48.499961;-4.504642;48.499961, -4.504642;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04941A;CARANTEC BP;Bureau de poste;6 RUE ALBERT LOUPPE;;;29660.0;CARANTEC;FRANCE;48.667916;-3.914129;48.667916, -3.914129;Géocodé au numéro;3631.0;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04943A;CAST AP;Agence postale;PLACE DE LA  MAIRIE;;;29150.0;CAST;FRANCE;48.157395;-4.13879;48.157395, -4.13879;Géocodé au centre de la commune;298735406.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04944A;CHATEAULIN;Bureau de poste;17 QUAI JEAN MOULIN;;;29150.0;CHATEAULIN;FRANCE;48.195355;-4.09463;48.195355, -4.09463;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non
04951A;LE CLOITRE SAINT THEGONNEC AP;Agence postale;BOURG;;;29410.0;LE CLOITRE ST THEGONNEC;FRANCE;48.479395;-3.79387;48.479395, -3.79387;Géocodé au centre de la commune;298797036.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04955A;CONCARNEAU;Bureau de poste;14 QUAI CARNOT;;;29900.0;CONCARNEAU;FRANCE;47.874935;-3.916892;47.874935, -3.916892;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
04964A;EDERN AP;Agence postale;BOURG;;;29510.0;EDERN;FRANCE;48.104254;-3.977888;48.104254, -3.977888;Géocodé au numéro;298575361.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04966A;ERGUE GABERIC BP;Bureau de poste;81 BIS AVENUE DE CORAY  CENTRE C;;;29500.0;ERGUE GABERIC;FRANCE;47.998391;-4.05728;47.998391, -4.05728;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non
04974A;GOUESNOU BP;Bureau de poste;1 RUE SOEUR PAUL;;;29850.0;GOUESNOU;FRANCE;48.449794;-4.466643;48.449794, -4.466643;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
04992A;ILE MOLENE AP;Agence postale;BOURG;;;29259.0;ILE MOLENE;FRANCE;48.396491;-4.957333;48.396491, -4.957333;Géocodé au centre de la commune;298073900.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05001A;LANDERNEAU;Bureau de poste;4 RUE DE LA TOUR D AUVERGNE;;;29800.0;LANDERNEAU;FRANCE;48.451091;-4.248262;48.451091, -4.248262;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui
05014A;LAZ AP;Agence postale;BOURG;;;29520.0;LAZ;FRANCE;48.136992;-3.837038;48.136992, -3.837038;Géocodé au centre de la commune;298268265.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05016A;LESNEVEN;Bureau de poste;10 RUE DE JERUSALEM;;;29260.0;LESNEVEN;FRANCE;48.572896;-4.323138;48.572896, -4.323138;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non
05019A;LOCMARIA PLOUZANE BP;Bureau de poste;PLACE DE LA MAIRIE;;;29280.0;LOCMARIA PLOUZANE;FRANCE;48.374892;-4.644143;48.374892, -4.644143;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05032A;MELLAC BP;Bureau de poste;Z I  DE  KERVIDANOU;;;29300.0;MELLAC;FRANCE;47.870398;-3.587369;47.870398, -3.587369;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05038A;PENMARCH BP;Bureau de poste;105 RUE EDMOND MICHELET;;;29760.0;PENMARCH;FRANCE;47.812736;-4.337509;47.812736, -4.337509;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05041A;PLEYBEN BP;Bureau de poste;1 RUE LAURENT LE ROUX;;;29190.0;PLEYBEN;FRANCE;48.225451;-3.967948;48.225451, -3.967948;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05043A;LESCONIL BP;Bureau de poste;PLACE DE LA RESISTANCE;;;29740.0;LESCONIL;FRANCE;47.799695;-4.216;47.799695, -4.216;Géocodé au milieu de la rue;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05044A;PLOGASTEL ST GERMAIN BP;Bureau de poste;PLACE DE LA POSTE;;;29710.0;PLOGASTEL ST GERMAIN;FRANCE;47.983024;-4.270648;47.983024, -4.270648;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui
05045A;PLOGOFF BP;Bureau de poste;RUE PIERRE BROSSOLETTE;;;29770.0;PLOGOFF;FRANCE;48.036651;-4.6679;48.036651, -4.6679;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05057A;PLOUDIRY AP;Agence postale;BOURG;;;29800.0;PLOUDIRY;FRANCE;48.454493;-4.140628;48.454493, -4.140628;Géocodé au centre de la commune;298251287.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05060A;PLOUEGAT MOYSAN AP;Agence postale;LIEU DIT LE BOURG;;;29650.0;PLOUEGAT MOYSAN;FRANCE;48.568998;-3.610521;48.568998, -3.610521;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05061A;PLOUENAN BP;Bureau de poste;4 PLACE LOUIS SEVERE;;;29420.0;PLOUENAN;FRANCE;48.628216;-3.991755;48.628216, -3.991755;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05063A;PLOUEZOCH BP;Bureau de poste;21 PLACE DU BOURG;;;29252.0;PLOUEZOC H;FRANCE;48.640578;-3.823436;48.640578, -3.823436;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05065A;PLOUGASTEL DAOULAS BP;Bureau de poste;RUE ANDRE MALRAUX;;;29470.0;PLOUGASTEL DAOULAS;FRANCE;48.373899;-4.368582;48.373899, -4.368582;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05066A;PLOUGONVELIN BP;Bureau de poste;1 RUE SAINT YVES;;;29217.0;PLOUGONVELIN;FRANCE;48.341639;-4.718246;48.341639, -4.718246;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05073A;PLOUIDER AP;Agence postale;BOURG;;;29260.0;PLOUIDER;FRANCE;48.608699;-4.300598;48.608699, -4.300598;Géocodé au centre de la commune;298254050.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05074A;PLOUIGNEAU BP;Bureau de poste;PLACE DU GENERAL DE GAULLE;;;29610.0;PLOUIGNEAU;FRANCE;48.567399;-3.701093;48.567399, -3.701093;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05081A;PLOURIN AP;Agence postale;LIEU DIT BOURG;;;29830.0;PLOURIN;FRANCE;48.509596;-4.686975;48.509596, -4.686975;Géocodé au centre de la commune;298043150.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05083A;PLOUVORN BP;Bureau de poste;16 BIS RUE DU GENERAL DE GAULLE;;;29420.0;PLOUVORN;FRANCE;48.582097;-4.039225;48.582097, -4.039225;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05093A;PORT LAUNAY AP;Agence postale;PLACE CHARLES DE GAULLE;;;29150.0;PORT LAUNAY;FRANCE;48.215071;-4.072806;48.215071, -4.072806;Géocodé au numéro;298861399.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05095A;POULDREUZIC BP;Bureau de poste;31 RUE DE PLOZEVET;;;29710.0;POULDREUZIC;FRANCE;47.956941;-4.362515;47.956941, -4.362515;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
05096A;POULLAN SUR MER AP;Agence postale;PLACE DU BEL AIR;;;29100.0;POULLAN SUR MER;FRANCE;48.0804;-4.411956;48.0804, -4.411956;Géocodé au centre de la commune;298742734.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05114A;SAINT GOAZEC AP;Agence postale;BOURG;;;29520.0;ST GOAZEC;FRANCE;48.162692;-3.783493;48.162692, -3.783493;Géocodé au centre de la commune;298268217.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05122A;SAINT THEGONNEC BP;Bureau de poste;4 PLACE DE LA MAIRIE;;;29410.0;ST THEGONNEC;FRANCE;48.521099;-3.94639;48.521099, -3.94639;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05124A;SAINT THURIEN BP;Bureau de poste;1 PLACE DU CENTRE;;;29380.0;ST THURIEN;FRANCE;47.95911;-3.624303;47.95911, -3.624303;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
05126A;SANTEC AP;Agence postale;PLACE DE MASCRENN;;;29250.0;SANTEC;FRANCE;48.703057;-4.029272;48.703057, -4.029272;Géocodé au numéro;298297009.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05128A;SCRIGNAC BP;Bureau de poste;21 PLACE DES 3 FRERES COANT;;;29640.0;SCRIGNAC;FRANCE;48.432537;-3.678232;48.432537, -3.678232;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05129A;SIBIRIL AP;Agence postale;PLACE DE LA MAIRIE;;;29250.0;SIBIRIL;FRANCE;48.665298;-4.063733;48.665298, -4.063733;Géocodé au milieu de la rue;298299724.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05142A;ERGUE GABERIC AP;Agence postale;BOURG;;;29500.0;ERGUE GABERIC;FRANCE;47.996693;-4.029383;47.996693, -4.029383;Géocodé au centre de la commune;298595154.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05144A;PLOBANNALEC AP;Relais poste commerçant;11 RUE DE PONT L ABBE;PROXILIUM M SOUVAYRE;;29740.0;PLOBANNALEC LESCONIL;FRANCE;47.823516;-4.229689;47.823516, -4.229689;Géocodé au numéro;256048958.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05156A;TREBOUL BP;Bureau de poste;2 RUE PIERRE BROSSOLETTE;;TREBOUL;29100.0;DOUARNENEZ;FRANCE;48.096282;-4.34452;48.096282, -4.34452;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non
05164A;QUIMPER CHAPEAU ROUGE BP;Bureau de poste;RUE DU CHAPEAU ROUGE;;;29000.0;QUIMPER;FRANCE;47.996292;-4.108282;47.996292, -4.108282;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non
05171A;PONT DE BUIS AP;Relais poste commerçant;35 RUE SAINT LUC;LE PENALTY MME ANTRAYGUES;;29590.0;PONT DE BUIS LES QUIMERCH;FRANCE;48.252591;-4.083706;48.252591, -4.083706;Géocodé au centre de la commune;298269334.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05175A;ROSPORDEN KERNEVEL AP;Agence postale;KERNEVEL;;;29140.0;ROSPORDEN;FRANCE;47.966297;-3.831041;47.966297, -3.831041;Géocodé au centre de la commune;298598812.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05189A;ALES PRINCIPAL;Bureau de poste;5 AVENUE DU GENERAL DE GAULLE;;;30100.0;ALES;FRANCE;44.126594;4.080728;44.126594, 4.080728;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui
05193A;ARAMON BP;Bureau de poste;6 PLACE GENERAL HOCHE;;;30390.0;ARAMON;FRANCE;43.89058;4.683088;43.89058, 4.683088;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05198A;AULAS AP;Agence postale;;;;30120.0;AULAS;FRANCE;44.000895;3.586936;44.000895, 3.586936;Géocodé au centre de la commune;499920118.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
